Status,Name,Adv,Date,Key,Contents
Hurricane,Georges,46A,1998-09-27T00:00:00Z,NA,NA
Hurricane,Georges,47,1998-09-27T03:00:00Z,NA,NA
Hurricane,Georges,47A,1998-09-27T06:00:00Z,NA,NA
Hurricane,Georges,48,1998-09-27T09:00:00Z,NA,NA
Hurricane,Georges,48A,1998-09-27T12:00:00Z,NA,NA
Hurricane,Georges,49,1998-09-27T15:00:00Z,NA,NA
Hurricane,Georges,49A,1998-09-27T17:00:00Z,NA,NA
Hurricane,Georges,49B,1998-09-27T19:00:00Z,NA,NA
Hurricane,Georges,50,1998-09-27T21:00:00Z,NA,NA
Hurricane,Georges,50A,1998-09-27T23:00:00Z,NA,NA
Hurricane,Georges,50B,1998-09-28T01:00:00Z,NA,NA
Hurricane,Georges,51,1998-09-28T03:00:00Z,NA,NA
Hurricane,Georges,51A,1998-09-28T17:00:00Z,NA,NA
Hurricane,Georges,51B,1998-09-28T07:00:00Z,NA,NA
Hurricane,Georges,52,1998-09-28T09:00:00Z,NA,NA
Hurricane,Georges,52A,1998-09-28T11:00:00Z,NA,NA
Hurricane,Georges,52B,1998-09-28T13:00:00Z,NA,NA
Hurricane,Georges,53,1998-09-28T15:00:00Z,NA,NA
Hurricane,Georges,53A,1998-09-28T18:00:00Z,NA,NA
Tropical Storm,Georges,54,1998-09-28T21:00:00Z,NA,NA
Tropical Storm,Georges,54A,1998-09-29T00:00:00Z,NA,NA
Tropical Storm,Georges,55,1998-09-29T03:00:00Z,NA,NA
Tropical Storm,Georges,55A,1998-09-29T06:00:00Z,NA,NA
Tropical Storm,Georges,56,1998-09-29T09:00:00Z,NA,NA
Tropical Storm,Georges,56A,1998-09-29T12:00:00Z,NA,NA
Tropical Depression,Georges,57,1998-09-29T15:00:00Z,NA,NA
Tropical Depression,Eight,1,1998-09-17T21:00:00Z,NA,NA
Tropical Depression,Eight,1A,1998-09-18T00:00:00Z,NA,NA
Tropical Depression,Eight,2,1998-09-18T03:00:00Z,NA,NA
Tropical Depression,Eight,2A,1998-09-18T06:00:00Z,NA,NA
Tropical Depression,Eight,3,1998-09-18T09:00:00Z,NA,NA
Tropical Depression,Eight,3A,1998-09-18T12:00:00Z,NA,NA
