Key,Name,Wind,StartDate,EndDate
AL112008,Kyle,70,2008-09-25T21:00:00Z,2008-09-29T03:00:00Z
AL112009,Ida,90,2009-11-04T15:00:00Z,2009-11-10T15:00:00Z
AL112010,Igor,135,2010-09-08T15:00:00Z,2010-09-21T21:00:00Z
AL112011,Jose,40,2011-08-28T12:00:00Z,2011-08-29T15:00:00Z
AL112012,Kirk,90,2012-08-28T21:00:00Z,2012-09-02T21:00:00Z
AL112013,Jerry,45,2013-09-29T03:00:00Z,2013-10-03T21:00:00Z
AL112015,Joaquin,135,2015-09-28T03:00:00Z,2015-10-08T03:00:00Z
AL112016,Julia,35,2016-09-14T03:00:00Z,2016-09-19T03:00:00Z
AL121998,Lisa,65,1998-10-05T21:00:00Z,1998-10-09T21:00:00Z
AL121999,Twelve,30,1999-10-06T03:00:00Z,1999-10-08T21:00:00Z
AL122000,Helene,55,2000-09-15T21:00:00Z,2000-09-22T21:00:00Z
AL122001,Jerry,45,2001-10-06T15:00:00Z,2001-10-08T21:00:00Z
AL122002,Kyle,75,2002-09-20T21:00:00Z,2002-10-12T15:00:00Z
AL122003,Henri,45,2003-09-03T21:00:00Z,2003-09-08T21:00:00Z
AL122004,Karl,120,2004-09-16T21:00:00Z,2004-09-24T21:00:00Z
AL122005,Katrina,150,2005-08-23T21:00:00Z,2005-08-30T15:00:00Z
AL122007,Karen,60,2007-09-25T03:00:00Z,2007-09-29T21:00:00Z
AL122008,Laura,50,2008-09-29T09:00:00Z,2008-10-01T15:00:00Z
AL122010,Julia,115,2010-09-12T15:00:00Z,2010-09-20T15:00:00Z
AL122011,Katia,115,2011-08-29T09:00:00Z,2011-09-10T15:00:00Z
AL122012,Leslie,65,2012-08-30T15:00:00Z,2012-09-11T15:00:00Z
AL122013,Karen,55,2013-10-03T13:00:00Z,2013-10-06T15:00:00Z
AL122015,Kate,65,2015-11-09T03:00:00Z,2015-11-12T09:00:00Z
AL122016,Karl,60,2016-09-14T15:00:00Z,2016-09-25T15:00:00Z
AL131998,Mitch,155,1998-10-22T03:00:00Z,1998-11-05T21:00:00Z
AL131999,Irene,90,1999-10-13T15:00:00Z,1999-10-19T03:00:00Z
AL132000,Isaac,120,2000-09-21T15:00:00Z,2000-10-01T15:00:00Z
AL132001,Karen,70,2001-10-12T21:00:00Z,2001-10-15T15:00:00Z
AL132002,Lili,125,2002-09-21T21:00:00Z,2002-10-04T09:00:00Z
AL132003,Isabel,140,2003-09-06T13:00:00Z,2003-09-19T15:00:00Z
AL132004,Lisa,65,2004-09-19T21:00:00Z,2004-10-03T03:00:00Z
AL132005,Lee,35,2005-08-28T21:00:00Z,2005-09-02T03:00:00Z
